number_of_occurence, full_citation
17,Vism.183
17,Mhvs.8
17,Vism.278
17,Thag-a.257
17,Vb-a.63
16,Vv-a.279
16,Dhs-a.317
16,Vin.i.11
16,Pv-a.243
16,Vin.ii.296
16,Ja.iv.7
16,Snp-a.466
16,Snp.1131
16,DN.iii.228
16,SN.i.89
16,Ja.iii.127
16,DN.i.152
16,DN-a.i.267
16,DN-a.i.252
16,Ja.vi.330
16,Ja.vi.247
16,Ja.ii.127
16,Ja.v.89
16,DN-a.i.281
16,MN.i.133
16,Ja.i.20
16,MN.i.365
16,AN.iv.127
16,Ja.iv.498
16,Pv-a.125
16,Vv-a.197
16,Dhp-a.ii.85
16,AN.i.9
16,Ja.v.71
16,Iti.120
16,Vv-a.37
16,Mil.279
16,AN.ii.42
16,MN.i.343
16,AN.i.240
16,AN.i.94
16,SN.v.74
16,AN.iii.92
16,Vin.ii.301
16,Ja.vi.498
16,Pv-a.106
16,Pv-a.128
16,SN.i.201
16,AN.i.74
16,DN-a.i.284
16,Vv-a.7
16,DN.i.157
16,Mil.171
16,Ja.i.93
16,Snp.35
16,Iti.103
16,SN.iv.180
16,Ja.i.140
16,SN.v.204
16,Ja.ii.117
16,SN.ii.255
16,Ja.i.227
16,Vv-a.217
16,Iti.18
16,Ja.vi.354
16,Vin.i.297
16,Ja.i.189
16,Ja.vi.448
16,Ja.i.120
16,Vv-a.64
16,Iti.118
16,MN.i.73
16,Vv-a.110
16,AN.ii.68
16,SN.iii.103
16,Pv-a.28
16,Mil.135
16,Mil.333
16,Vin.iv.264
16,AN.iii.346
16,SN.iii.135
16,DN.i.72
16,DN.i.195
16,Pv-a.166
16,Ja.iii.281
16,Vv-a.10
16,DN.i.107
16,Cnd.466
16,AN.iii.50
16,AN.ii.199
16,Pv-a.94
16,Ja.ii.158
16,Snp.537
16,Vv-a.40
16,Ja.i.25
16,Dhp-a.i.393
16,Vv-a.314
16,Pp.26
16,Vb.340
16,Iti.40
16,Vv-a.113
16,DN.iii.112
16,Cnd.151
16,SN.iv.323
16,Snp.791
16,Snp-a.453
16,Mil.226
16,Ja.vi.500
16,AN.iii.46
16,Ja.i.186
16,Ja.i.214
16,Iti.38
16,Dhs-a.168
16,DN.iii.290
16,Dhs.390
16,Vv-a.14
16,Mil.78
16,Iti.78
16,Ja.i.91
16,DN.i.142
16,Pv-a.192
16,Snp.553
16,AN.iii.116
16,AN.ii.3
16,Vv-a.278
16,AN.iv.47
16,DN.iii.280
16,Snp.845
16,Ja.iv.26
16,Mil.386
16,Vv-a.284
16,AN.i.154
16,Iti.121
16,Dhp-a.ii.86
16,Iti.32
16,MN.i.326
16,Ja.iii.342
16,SN.iii.46
16,Ja.i.493
16,DN.i.136
16,Vin.ii.76
16,Pts.i.84
16,Vin.ii.136
16,Ja.ii.95
16,MN.i.139
16,Snp.687
16,AN.ii.23
16,DN.iii.221
16,Pv-a.140
16,Snp.469
16,Mil.383
16,Pp.66
16,Iti.37
16,SN.i.90
16,AN.iii.16
16,AN.ii.36
16,Vism.195
16,DN-a.i.77
16,Ja.v.154
16,Dhs-a.364
16,Pv-a.138
16,MN.i.220
16,DN.iii.147
16,Dhp-a.i.14
16,Iti.111
16,SN.ii.282
16,Ja.ii.417
16,Dhs-a.321
16,Vb.246
16,DN-a.i.91
16,Vism.108
16,AN.iv.266
16,SN.i.132
16,MN.i.327
16,Ja.v.431
16,SN.i.142
16,Vin.ii.123
16,SN.iv.294
16,Pp.53
16,Vb.351
16,Vin.iv.40
16,Snp.139
16,Vin.i.240
16,Vin.i.286
16,DN-a.i.96
16,DN.iii.108
16,SN.i.107
16,Vin.ii.121
16,Vism.184
16,Ne.16
16,Ja.ii.367
16,Ja.ii.275
16,Vin.ii.207
16,Ja.ii.88
16,Vin.iv.259
16,MN.i.281
16,Ja.v.49
16,Iti.68
16,Vism.418
16,Ja.vi.64
16,Vv-a.8
16,Ja.i.28
16,DN.iii.264
16,AN.iii.128
16,Vin.i.32
16,MN.i.117
16,Dhp-a.i.4
16,AN.ii.89
16,Ja.v.206
16,Dhs-a.151
16,Vin.i.188
16,Ja.i.210
16,Snp-a.137
15,AN.v.110
15,Ja.iv.71
15,Vv-a.265
15,DN-a.i.296
